deal_id,deal_date,city,neighborhood,street,house_number,property_type,rooms,sqm,price,lat,lon
100001,2025-06-20,Tel Aviv,Old North,Sokolov,25,private_house,3,62,3159000,32.087617,34.758965
100002,2025-10-10,Tel Aviv,Florentin,HaShalom,108,apartment,2,45,2056000,32.086190,34.796961
100003,2026-03-18,Tel Aviv,Ramat Aviv,Rambam,16,penthouse,5,120,6680000,32.091286,34.778512
100004,2025-10-03,Tel Aviv,Old North,Marmorek,35,garden_apartment,2,45,2317000,32.072222,34.789082
100005,2024-10-10,Tel Aviv,Neve Tzedek,Rambam,147,apartment,3.5,75,3278000,32.078586,34.783868
100006,2026-03-14,Tel Aviv,Yad Eliyahu,Rambam,53,apartment,5,120,6614000,32.079932,34.770317
100007,2025-06-30,Tel Aviv,Neve Tzedek,Ben Yehuda,47,apartment,4.5,100,4660000,32.078548,34.782724
100008,2025-07-14,Tel Aviv,Neve Tzedek,Tchernichovsky,88,apartment,5,110,5496000,32.069698,34.786996
100009,2026-03-04,Tel Aviv,Yad Eliyahu,Allenby,126,apartment,2.5,55,2682000,32.084760,34.799087
100010,2024-10-23,Tel Aviv,Old North,Tchernichovsky,81,private_house,5,120,6572000,32.079868,34.766623
100011,2024-10-01,Tel Aviv,Neve Tzedek,Ahad HaAm,179,apartment,4.5,100,5502000,32.087528,34.799651
100012,2025-07-04,Tel Aviv,Old North,Borochov,115,garden_apartment,5.5,140,7913000,32.080084,34.757288
100013,2025-05-27,Tel Aviv,Florentin,Herzl,127,garden_apartment,2,45,2608000,32.081202,34.783760
100014,2025-09-06,Tel Aviv,Florentin,Tchernichovsky,128,apartment,4,90,5179000,32.091401,34.792321
100015,2025-08-06,Tel Aviv,Old North,Hartom,107,apartment,3,62,3581000,32.063565,34.776983
100016,2025-09-23,Tel Aviv,Lev HaIr,Allenby,39,apartment,3,62,2909000,32.084284,34.780231
100017,2024-09-21,Tel Aviv,Ramat Aviv,Sokolov,95,apartment,3,62,3252000,32.086383,34.754657
100018,2024-06-09,Tel Aviv,Neve Tzedek,Borochov,174,garden_apartment,5,110,5086000,32.109559,34.790361
100019,2024-06-20,Tel Aviv,Yad Eliyahu,Ahad HaAm,163,apartment,5,110,5234000,32.092878,34.785943
100020,2025-10-16,Tel Aviv,Ramat Aviv,Herzl,88,apartment,4.5,100,5339000,32.085545,34.781884
100021,2025-12-14,Tel Aviv,Ramat Aviv,Herzl,54,apartment,5,110,6300000,32.092091,34.769670
100022,2025-05-27,Tel Aviv,Florentin,Ahad HaAm,32,apartment,5,120,7047000,32.107348,34.751024
100023,2025-01-25,Tel Aviv,Neve Tzedek,Hartom,88,apartment,4.5,100,4986000,32.085816,34.779712
100024,2025-12-03,Tel Aviv,Old North,Ben Yehuda,136,apartment,5,110,7061000,32.094387,34.793761
100025,2026-04-20,Tel Aviv,Ramat Aviv,Hartom,67,apartment,5,110,5481000,32.101741,34.776944
100026,2025-10-01,Tel Aviv,Old North,Frug,129,garden_apartment,5,110,6084000,32.074475,34.769294
100027,2025-10-30,Tel Aviv,Yad Eliyahu,Ben Yehuda,133,apartment,3,68,3860000,32.067394,34.780008
100028,2026-04-19,Tel Aviv,Neve Tzedek,Jabotinsky,50,apartment,3.5,75,4027000,32.076595,34.775035
100029,2025-05-25,Tel Aviv,Lev HaIr,Ben Yehuda,87,apartment,4,82,4513000,32.088000,34.747159
100030,2024-08-31,Tel Aviv,Old North,Tchernichovsky,168,apartment,2,45,2451000,32.086850,34.776993
